date,lake_depth_ft
2021-04-19,741
2021-04-18,741
2021-04-17,741
2021-04-16,745
2021-04-15,745
2021-04-14,745
2021-04-13,741
2021-04-12,741
2021-04-11,739
2021-04-10,739
2021-04-09,739
2021-04-08,738
2021-04-07,738
2021-04-06,738
2021-04-05,738
2021-04-04,738
2021-04-03,738
2021-04-02,738
2021-04-01,735
2021-03-31,735
2021-03-30,735
2021-03-29,735
2021-03-28,735
2021-03-27,735
2021-03-26,735
2021-03-26,735
2021-03-25,735
2021-03-23,732
2021-03-22,732
2021-03-21,732
2021-03-20,732
2021-03-19,728
2021-03-18,728
2021-03-17,728
2021-03-16,728
2021-03-15,728
2021-03-14,725
2021-03-13,725
2021-03-12,725
2021-03-11,725
2021-03-10,725
2021-03-09,722
2021-03-08,722
2021-03-07,719
2021-03-06,719
2021-03-05,722
2021-03-04,722
2021-03-03,722
2021-03-02,718
2021-03-01,718
2021-02-28,715
2021-02-27,715
2021-02-26,715
2021-02-25,715
2021-02-24,708
2021-02-23,712
2021-02-22,715
2021-02-21,718
2021-02-20,718
2021-02-19,712
2021-02-18,705
2021-02-17,712
2021-02-16,711
2021-02-15,712
2021-02-14,711
2021-02-13,710
2021-02-12,708
2021-02-11,705
2021-02-10,702
2021-02-09,705
2021-02-08,705
2021-02-07,702
2021-02-06,692
2021-02-05,692
2021-02-04,696
2021-02-03,699
2021-02-02,699
2021-02-01,695
2021-01-31,695
2021-01-30,692
2021-01-29,685
2021-01-28,684
2021-01-27,682
2021-01-26,673
2021-01-25,673
2021-01-24,673
2021-01-23,673
2021-01-22,669
2021-01-21,663
2021-01-20,663
2021-01-19,663
2021-01-18,663
2021-01-17,659
2021-01-16,656
2021-01-15,653
2021-01-14,653
2021-01-13,650
2021-01-12,643
2021-01-11,643
2021-01-10,636
2021-01-09,636
2021-01-08,636
2021-01-07,636
2021-01-06,630
2021-01-05,627
2021-01-04,623
2021-01-03,623
2021-01-02,620
2021-01-01,610
2020-12-31,601
2020-12-30,593
2020-12-29,589
2020-12-28,581
2020-12-27,581
2020-12-26,577
2020-12-25,577
2020-12-24,554
2020-12-23,470
2020-12-22,440
